,consistency,relevance,coherence,fluency
bertscore-sentence-cos-mpnet-topp-0.7_R,0.26,0.26,0.092,0.161
bertscore-sentence-cos-mpnet-topp-0.7_F,0.381,0.271,0.164,0.288
bertscore-sentence-cos-roberta_P,0.404,0.234,0.265,0.33
bertscore-sentence-cos-roberta_R,0.119,0.239,0.084,0.04
bertscore-sentence-cos-roberta_F,0.304,0.291,0.191,0.213
bertscore-sentence-cos-roberta-topk-5_P,0.353,0.226,0.24,0.285
bertscore-sentence-cos-roberta-topk-5_R,0.25,0.26,0.15,0.175
bertscore-sentence-cos-roberta-topk-5_F,0.326,0.265,0.206,0.247
bertscore-sentence-cos-roberta-topk-10_P,0.385,0.244,0.263,0.328
bertscore-sentence-cos-roberta-topk-10_R,0.181,0.266,0.102,0.107
bertscore-sentence-cos-roberta-topk-10_F,0.32,0.301,0.2,0.25
bertscore-sentence-cos-roberta-topk-20_P,0.403,0.236,0.267,0.334
bertscore-sentence-cos-roberta-topk-20_R,0.123,0.241,0.085,0.046
bertscore-sentence-cos-roberta-topk-20_F,0.306,0.294,0.194,0.222
bertscore-sentence-cos-roberta-topp-0.2_P,0.314,0.214,0.238,0.261
bertscore-sentence-cos-roberta-topp-0.2_R,0.267,0.257,0.166,0.196
bertscore-sentence-cos-roberta-topp-0.2_F,0.312,0.253,0.214,0.247
bertscore-sentence-cos-roberta-topp-0.5_P,0.371,0.231,0.256,0.323
bertscore-sentence-cos-roberta-topp-0.5_R,0.205,0.268,0.124,0.151
bertscore-sentence-cos-roberta-topp-0.5_F,0.321,0.285,0.203,0.264
bertscore-sentence-cos-roberta-topp-0.7_P,0.394,0.234,0.26,0.328
bertscore-sentence-cos-roberta-topp-0.7_R,0.175,0.26,0.106,0.091
bertscore-sentence-cos-roberta-topp-0.7_F,0.325,0.29,0.199,0.241
rouge_rouge1,0.162,0.157,-0.011,0.054
rouge_rouge2,0.298,0.189,0.045,0.19
rouge_rougeL,0.296,0.211,0.1,0.185
rouge_rougeLsum,0.296,0.211,0.1,0.185
rouge-topk-5_rouge1,0.258,0.205,0.05,0.152
rouge-topk-5_rouge2,0.318,0.201,0.084,0.217
rouge-topk-5_rougeL,0.322,0.218,0.134,0.219
rouge-topk-5_rougeLsum,0.322,0.218,0.134,0.219
rouge-topk-10_rouge1,0.19,0.174,0.001,0.089
rouge-topk-10_rouge2,0.305,0.196,0.054,0.21
rouge-topk-10_rougeL,0.314,0.222,0.116,0.208
rouge-topk-10_rougeLsum,0.314,0.222,0.116,0.208
rouge-topk-20_rouge1,0.162,0.157,-0.011,0.054
rouge-topk-20_rouge2,0.298,0.19,0.045,0.19
rouge-topk-20_rougeL,0.296,0.211,0.1,0.185
rouge-topk-20_rougeLsum,0.296,0.211,0.1,0.185
rouge-topp-0.2_rouge1,0.28,0.239,0.133,0.201
rouge-topp-0.2_rouge2,0.306,0.221,0.151,0.229
rouge-topp-0.2_rougeL,0.31,0.235,0.199,0.241
rouge-topp-0.2_rougeLsum,0.31,0.235,0.199,0.241
rouge-topp-0.5_rouge1,0.224,0.188,0.026,0.121
rouge-topp-0.5_rouge2,0.316,0.199,0.072,0.224
rouge-topp-0.5_rougeL,0.32,0.223,0.131,0.219
rouge-topp-0.5_rougeLsum,0.32,0.223,0.131,0.219
rouge-topp-0.7_rouge1,0.19,0.165,-0.003,0.08
rouge-topp-0.7_rouge2,0.313,0.189,0.051,0.207
rouge-topp-0.7_rougeL,0.317,0.215,0.113,0.205
rouge-topp-0.7_rougeLsum,0.317,0.215,0.113,0.205
bleurt_scores,0.221,0.27,0.366,0.217
bleurt-topk-5_scores,0.27,0.276,0.312,0.249
bleurt-topk-10_scores,0.253,0.287,0.356,0.266
bleurt-topk-20_scores,0.22,0.271,0.366,0.217
bleurt-topp-0.2_scores,0.267,0.274,0.306,0.25
bleurt-topp-0.5_scores,0.249,0.293,0.349,0.269
bleurt-topp-0.7_scores,0.242,0.279,0.368,0.257
bertscore-sentence-mnli-roberta-not_neutral_P,0.264,0.085,0.039,0.227
bertscore-sentence-mnli-roberta-not_neutral_R,-0.032,0.006,-0.224,-0.106
bertscore-sentence-mnli-roberta-not_neutral_F,0.05,0.04,-0.187,-0.032
bertscore-sentence-mnli-roberta-entail_only_P,0.46,0.185,0.123,0.329
bertscore-sentence-mnli-roberta-entail_only_R,0.123,0.098,-0.129,-0.012
bertscore-sentence-mnli-roberta-entail_only_F,0.221,0.144,-0.078,0.088
bertscore-sentence-mnli-roberta-entail_contradict_P,0.474,0.198,0.144,0.345
bertscore-sentence-mnli-roberta-entail_contradict_R,0.167,0.157,-0.071,0.043
bertscore-sentence-mnli-roberta-entail_contradict_F,0.227,0.192,-0.026,0.118
bertscore-sentence-mnli-bart-not_neutral_P,0.25,0.046,-0.024,0.213
bertscore-sentence-mnli-bart-not_neutral_R,-0.091,-0.049,-0.266,-0.142
bertscore-sentence-mnli-bart-not_neutral_F,-0.03,-0.018,-0.242,-0.087
bertscore-sentence-mnli-bart-entail_only_P,0.488,0.17,0.125,0.374
bertscore-sentence-mnli-bart-entail_only_R,0.192,0.125,-0.091,0.082
bertscore-sentence-mnli-bart-entail_only_F,0.264,0.153,-0.052,0.151
bertscore-sentence-mnli-bart-entail_contradict_P,0.5,0.179,0.139,0.383
bertscore-sentence-mnli-bart-entail_contradict_R,0.201,0.167,-0.062,0.108
bertscore-sentence-mnli-bart-entail_contradict_F,0.228,0.185,-0.03,0.144
bertscore-sentence-mnli-deberta-not_neutral_P,0.391,0.114,0.041,0.327
bertscore-sentence-mnli-deberta-not_neutral_R,-0.026,0.029,-0.223,-0.049
bertscore-sentence-mnli-deberta-not_neutral_F,0.068,0.066,-0.185,0.036
bertscore-sentence-mnli-deberta-entail_only_P,0.533,0.187,0.101,0.389
bertscore-sentence-mnli-deberta-entail_only_R,0.198,0.136,-0.1,0.092
bertscore-sentence-mnli-deberta-entail_only_F,0.275,0.165,-0.067,0.157
bertscore-sentence-mnli-deberta-entail_contradict_P,0.548,0.199,0.118,0.4
bertscore-sentence-mnli-deberta-entail_contradict_R,0.231,0.166,-0.07,0.119
bertscore-sentence-mnli-deberta-entail_contradict_F,0.269,0.185,-0.046,0.169
bertscore-anyref-bart-default_precision,0.129,0.266,0.393,0.195
bertscore-anyref-bart-default_recall,0.226,0.376,0.352,0.212
bertscore-anyref-bart-default_f1,0.188,0.341,0.398,0.216
bertscore-anyref-bart-min-0.2-0.5_precision,0.126,0.263,0.384,0.195
bertscore-anyref-bart-min-0.2-0.5_recall,0.229,0.38,0.345,0.212
bertscore-anyref-bart-min-0.2-0.5_f1,0.189,0.343,0.388,0.216
bertscore-anyref-bart-min-0.5-0.7_precision,0.126,0.263,0.384,0.195
bertscore-anyref-bart-min-0.5-0.7_recall,0.229,0.38,0.345,0.212
bertscore-anyref-bart-min-0.5-0.7_f1,0.189,0.343,0.388,0.216
bertscore-anyref-bart-mean-0.2-0.5_precision,0.126,0.263,0.384,0.195
bertscore-anyref-bart-mean-0.2-0.5_recall,0.229,0.38,0.345,0.212
bertscore-anyref-bart-mean-0.2-0.5_f1,0.189,0.343,0.388,0.216
bertscore-anyref-bart-mean-0.5-0.7_precision,0.126,0.263,0.384,0.195
bertscore-anyref-bart-mean-0.5-0.7_recall,0.229,0.38,0.345,0.212
bertscore-anyref-bart-mean-0.5-0.7_f1,0.189,0.343,0.388,0.216
bertscore-anyref-bart-constant-16-32_precision,0.126,0.263,0.384,0.195
bertscore-anyref-bart-constant-16-32_recall,0.229,0.38,0.345,0.212
bertscore-anyref-bart-constant-16-32_f1,0.189,0.343,0.388,0.216
bertscore-anyref-bart-constant-32-64_precision,0.126,0.265,0.383,0.196
bertscore-anyref-bart-constant-32-64_recall,0.228,0.38,0.343,0.213
bertscore-anyref-bart-constant-32-64_f1,0.188,0.344,0.386,0.217
bertscore-anyref-pegasus-xsum-default_precision,-0.078,0.131,0.265,0.031
bertscore-anyref-pegasus-xsum-default_recall,0.061,0.23,0.204,0.054
bertscore-anyref-pegasus-xsum-default_f1,-0.014,0.197,0.263,0.042
bertscore-anyref-pegasus-xsum-min-0.2-0.5_precision,-0.078,0.131,0.265,0.031
bertscore-anyref-pegasus-xsum-min-0.2-0.5_recall,0.061,0.23,0.204,0.054
bertscore-anyref-pegasus-xsum-min-0.2-0.5_f1,-0.014,0.197,0.263,0.042
bertscore-anyref-pegasus-xsum-min-0.5-0.7_precision,-0.078,0.131,0.265,0.031
bertscore-anyref-pegasus-xsum-min-0.5-0.7_recall,0.061,0.23,0.204,0.054
bertscore-anyref-pegasus-xsum-min-0.5-0.7_f1,-0.014,0.197,0.263,0.042
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_precision,-0.078,0.131,0.265,0.031
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_recall,0.061,0.23,0.204,0.054
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_f1,-0.014,0.197,0.263,0.042
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_precision,-0.078,0.131,0.265,0.031
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_recall,0.061,0.23,0.204,0.054
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_f1,-0.014,0.197,0.263,0.042
bertscore-anyref-pegasus-xsum-constant-16-32_precision,-0.067,0.163,0.279,0.038
bertscore-anyref-pegasus-xsum-constant-16-32_recall,0.081,0.308,0.25,0.086
bertscore-anyref-pegasus-xsum-constant-16-32_f1,0.003,0.26,0.287,0.058
bertscore-anyref-pegasus-xsum-constant-32-64_precision,-0.032,0.187,0.28,0.054
bertscore-anyref-pegasus-xsum-constant-32-64_recall,0.138,0.299,0.22,0.095
bertscore-anyref-pegasus-xsum-constant-32-64_f1,0.059,0.275,0.278,0.078
rouge-anyref-bart-default_rouge1,0.241,0.334,0.257,0.214
rouge-anyref-bart-default_rouge2,0.24,0.292,0.26,0.223
rouge-anyref-bart-default_rougeL,0.228,0.296,0.283,0.226
rouge-anyref-bart-default_rougeLsum,0.228,0.296,0.283,0.226
rouge-anyref-bart-min-0.2-0.5_rouge1,0.241,0.335,0.247,0.213
rouge-anyref-bart-min-0.2-0.5_rouge2,0.246,0.303,0.257,0.221
rouge-anyref-bart-min-0.2-0.5_rougeL,0.231,0.304,0.281,0.225
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.231,0.304,0.281,0.225
rouge-anyref-bart-min-0.5-0.7_rouge1,0.241,0.335,0.247,0.213
rouge-anyref-bart-min-0.5-0.7_rouge2,0.246,0.303,0.257,0.221
rouge-anyref-bart-min-0.5-0.7_rougeL,0.231,0.304,0.281,0.225
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.231,0.304,0.281,0.225
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.241,0.335,0.247,0.213
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.246,0.303,0.257,0.221
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.231,0.304,0.281,0.225
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.231,0.304,0.281,0.225
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.241,0.335,0.247,0.213
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.246,0.303,0.257,0.221
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.231,0.304,0.281,0.225
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.231,0.304,0.281,0.225
rouge-anyref-bart-constant-16-32_rouge1,0.241,0.335,0.247,0.213
rouge-anyref-bart-constant-16-32_rouge2,0.246,0.303,0.257,0.221
rouge-anyref-bart-constant-16-32_rougeL,0.231,0.304,0.281,0.225
rouge-anyref-bart-constant-16-32_rougeLsum,0.231,0.304,0.281,0.225
rouge-anyref-bart-constant-32-64_rouge1,0.241,0.336,0.246,0.213
rouge-anyref-bart-constant-32-64_rouge2,0.247,0.304,0.256,0.222
rouge-anyref-bart-constant-32-64_rougeL,0.233,0.307,0.282,0.226
rouge-anyref-bart-constant-32-64_rougeLsum,0.233,0.307,0.282,0.226
rouge-anyref-pegasus-xsum-default_rouge1,0.077,0.159,0.082,0.078
rouge-anyref-pegasus-xsum-default_rouge2,0.128,0.175,0.067,0.076
rouge-anyref-pegasus-xsum-default_rougeL,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-default_rougeLsum,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge1,0.077,0.159,0.082,0.078
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge2,0.128,0.175,0.067,0.076
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeL,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeLsum,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge1,0.077,0.159,0.082,0.078
rouge-anyref-pegasus-xsum-min-0.5-0.7_rouge2,0.128,0.175,0.067,0.076
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeL,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-min-0.5-0.7_rougeLsum,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge1,0.077,0.159,0.082,0.078
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rouge2,0.128,0.175,0.067,0.076
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeL,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-mean-0.2-0.5_rougeLsum,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge1,0.077,0.159,0.082,0.078
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rouge2,0.128,0.175,0.067,0.076
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeL,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-mean-0.5-0.7_rougeLsum,0.057,0.112,0.07,0.049
rouge-anyref-pegasus-xsum-constant-16-32_rouge1,0.104,0.206,0.098,0.105
rouge-anyref-pegasus-xsum-constant-16-32_rouge2,0.112,0.202,0.086,0.083
rouge-anyref-pegasus-xsum-constant-16-32_rougeL,0.086,0.164,0.091,0.081
rouge-anyref-pegasus-xsum-constant-16-32_rougeLsum,0.086,0.164,0.091,0.081
rouge-anyref-pegasus-xsum-constant-32-64_rouge1,0.14,0.193,0.049,0.096
rouge-anyref-pegasus-xsum-constant-32-64_rouge2,0.146,0.162,0.039,0.09
rouge-anyref-pegasus-xsum-constant-32-64_rougeL,0.116,0.145,0.047,0.076
rouge-anyref-pegasus-xsum-constant-32-64_rougeLsum,0.116,0.145,0.047,0.076
bleurt-anyref-bart-default_scores,0.152,0.292,0.335,0.174
bleurt-anyref-bart-min-0.2-0.5_scores,0.162,0.309,0.338,0.178
bleurt-anyref-bart-min-0.5-0.7_scores,0.162,0.309,0.338,0.178
bleurt-anyref-bart-mean-0.2-0.5_scores,0.162,0.309,0.338,0.178
bleurt-anyref-bart-mean-0.5-0.7_scores,0.162,0.309,0.338,0.178
bleurt-anyref-bart-constant-16-32_scores,0.162,0.309,0.338,0.178
bleurt-anyref-bart-constant-32-64_scores,0.16,0.308,0.334,0.179
bleurt-anyref-pegasus-xsum-default_scores,-0.1,0.061,-0.007,-0.111
bleurt-anyref-pegasus-xsum-min-0.2-0.5_scores,-0.1,0.061,-0.007,-0.111
bleurt-anyref-pegasus-xsum-min-0.5-0.7_scores,-0.1,0.061,-0.007,-0.111
bleurt-anyref-pegasus-xsum-mean-0.2-0.5_scores,-0.1,0.061,-0.007,-0.111
bleurt-anyref-pegasus-xsum-mean-0.5-0.7_scores,-0.1,0.061,-0.007,-0.111
bleurt-anyref-pegasus-xsum-constant-16-32_scores,-0.083,0.105,0.061,-0.061
bleurt-anyref-pegasus-xsum-constant-32-64_scores,-0.039,0.129,0.091,-0.029
bertscore-anyref-pegasus-newsroom-default_precision,0.185,0.333,0.417,0.218
bertscore-anyref-pegasus-newsroom-default_recall,0.251,0.357,0.285,0.189
bertscore-anyref-pegasus-newsroom-default_f1,0.248,0.381,0.384,0.223
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,0.083,0.264,0.374,0.167
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.2,0.342,0.299,0.164
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,0.164,0.341,0.374,0.184
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,0.083,0.264,0.374,0.167
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.2,0.342,0.299,0.164
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,0.164,0.341,0.374,0.184
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,0.083,0.264,0.374,0.167
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.2,0.342,0.299,0.164
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,0.164,0.341,0.374,0.184
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,0.083,0.264,0.374,0.167
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.2,0.342,0.299,0.164
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,0.164,0.341,0.374,0.184
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,0.083,0.264,0.374,0.167
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.2,0.342,0.299,0.164
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,0.164,0.341,0.374,0.184
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,0.185,0.333,0.417,0.218
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,0.251,0.357,0.285,0.189
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,0.248,0.381,0.384,0.223
bertscore-anyref-pegasus-cnndm-default_precision,0.132,0.283,0.356,0.206
bertscore-anyref-pegasus-cnndm-default_recall,0.244,0.396,0.327,0.227
bertscore-anyref-pegasus-cnndm-default_f1,0.193,0.36,0.362,0.227
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,0.131,0.282,0.358,0.205
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.245,0.395,0.329,0.226
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.193,0.359,0.364,0.226
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,0.131,0.282,0.358,0.205
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.245,0.395,0.329,0.226
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.193,0.359,0.364,0.226
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,0.131,0.282,0.358,0.205
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.245,0.395,0.329,0.226
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.193,0.359,0.364,0.226
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,0.131,0.282,0.358,0.205
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.245,0.395,0.329,0.226
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.193,0.359,0.364,0.226
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,0.131,0.282,0.358,0.205
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.245,0.395,0.329,0.226
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.193,0.359,0.364,0.226
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,0.132,0.283,0.356,0.206
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.244,0.396,0.327,0.227
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.193,0.36,0.362,0.227
rouge-anyref-pegasus-newsroom-default_rouge1,0.212,0.269,0.14,0.169
rouge-anyref-pegasus-newsroom-default_rouge2,0.246,0.256,0.158,0.192
rouge-anyref-pegasus-newsroom-default_rougeL,0.248,0.267,0.195,0.194
rouge-anyref-pegasus-newsroom-default_rougeLsum,0.248,0.267,0.195,0.194
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,0.167,0.255,0.17,0.156
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,0.204,0.243,0.176,0.174
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,0.167,0.255,0.17,0.156
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,0.204,0.243,0.176,0.174
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,0.167,0.255,0.17,0.156
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,0.204,0.243,0.176,0.174
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,0.167,0.255,0.17,0.156
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,0.204,0.243,0.176,0.174
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,0.167,0.255,0.17,0.156
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,0.204,0.243,0.176,0.174
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,0.195,0.246,0.198,0.174
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,0.212,0.269,0.14,0.169
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,0.246,0.256,0.158,0.192
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,0.248,0.267,0.195,0.194
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,0.248,0.267,0.195,0.194
rouge-anyref-pegasus-cnndm-default_rouge1,0.235,0.328,0.213,0.215
rouge-anyref-pegasus-cnndm-default_rouge2,0.247,0.309,0.225,0.232
rouge-anyref-pegasus-cnndm-default_rougeL,0.217,0.3,0.246,0.206
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.217,0.3,0.246,0.206
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.236,0.33,0.217,0.214
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.248,0.31,0.227,0.231
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.236,0.33,0.217,0.214
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.248,0.31,0.227,0.231
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.236,0.33,0.217,0.214
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.248,0.31,0.227,0.231
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.236,0.33,0.217,0.214
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.248,0.31,0.227,0.231
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.236,0.33,0.217,0.214
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.248,0.31,0.227,0.231
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.219,0.302,0.249,0.206
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.235,0.328,0.213,0.215
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.247,0.309,0.225,0.232
rouge-anyref-pegasus-cnndm-constant-32-64_rougeL,0.217,0.3,0.246,0.206
rouge-anyref-pegasus-cnndm-constant-32-64_rougeLsum,0.217,0.3,0.246,0.206
